Reaper Map Alt,,MA alt,Reaper Map neu,,,MA,,,,Ziel,,,,,,TODO
Channel,Note,ID alt,Ch Name,Ch#,Note,Remote Type,Remote ID,Tested,Reset,Kategorie,Action,Action Detail,Reaper Label,Fixture #,Submodul,
16,2,16.102,Suns,3,42,exec,3.132,,,Sunstrip,Flash,,S1 2,1,2,
16,3,16.103,Suns,3,43,exec,3.133,,,Sunstrip,Flash,,S1 3,1,3,
16,4,16.104,Suns,3,44,exec,3.134,,,Sunstrip,Flash,,S1 4,1,4,
16,5,16.105,Suns,3,45,exec,3.135,,,Sunstrip,Flash,,S1 5,1,5,
16,6,16.106,Suns,3,46,exec,3.136,,,Sunstrip,Flash,,S1 6,1,6,
16,7,16.107,Suns,3,47,exec,3.137,,,Sunstrip,Flash,,S1 7,1,7,
16,8,16.108,Suns,3,48,exec,3.138,,,Sunstrip,Flash,,S1 8,1,8,
16,9,16.109,Suns,3,49,exec,3.139,,,Sunstrip,Flash,,S1 9,1,9,
16,10,16.110,Suns,3,50,exec,3.140,,,Sunstrip,Flash,,S1 10,1,10,
16,11,16.111,Suns,3,51,exec,3.141,,,Sunstrip,Flash,,Sunstrip2 1,2,1,
16,12,16.112,Suns,3,52,exec,3.142,,,Sunstrip,Flash,,S2 2,2,2,
16,13,16.113,Suns,3,53,exec,3.143,,,Sunstrip,Flash,,S2 3,2,3,
16,14,16.114,Suns,3,54,exec,3.144,,,Sunstrip,Flash,,S2 4,2,4,
16,15,16.115,Suns,3,55,exec,3.145,,,Sunstrip,Flash,,S2 5,2,5,
16,16,16.116,Suns,3,56,exec,3.146,,,Sunstrip,Flash,,S2 6,2,6,
16,17,16.117,Suns,3,57,exec,3.147,,,Sunstrip,Flash,,S2 7,2,7,
16,18,16.118,Suns,3,58,exec,3.148,,,Sunstrip,Flash,,S2 8,2,8,
16,19,16.119,Suns,3,59,exec,3.149,,,Sunstrip,Flash,,S2 9,2,9,
16,20,16.120,Suns,3,60,exec,3.150,,,Sunstrip,Flash,,S2 10,2,10,
16,21,16.121,Suns,3,61,exec,3.151,,,Sunstrip,Flash,,Sunstrip3 1,3,1,
16,22,16.122,Suns,3,62,exec,3.152,,,Sunstrip,Flash,,S3 2,3,2,
16,23,16.123,Suns,3,63,exec,3.153,,,Sunstrip,Flash,,S3 3,3,3,
16,24,16.124,Suns,3,64,exec,3.154,,,Sunstrip,Flash,,S3 4,3,4,
16,25,16.125,Suns,3,65,exec,3.155,,,Sunstrip,Flash,,S3 5,3,5,
16,26,16.126,Suns,3,66,exec,3.156,,,Sunstrip,Flash,,S3 6,3,6,
16,27,16.127,Suns,3,67,exec,3.157,,,Sunstrip,Flash,,S3 7,3,7,
16,28,16.128,Suns,3,68,exec,3.158,,,Sunstrip,Flash,,S3 8,3,8,
16,29,16.129,Suns,3,69,exec,3.159,,,Sunstrip,Flash,,S3 9,3,9,
16,30,16.130,Suns,3,70,exec,3.160,,,Sunstrip,Flash,,S3 10,3,10,
16,31,16.131,Suns,3,71,exec,3.161,,,Sunstrip,Flash,,Sunstrip4 1,4,1,
16,32,16.132,Suns,3,72,exec,3.162,,,Sunstrip,Flash,,S4 2,4,2,
16,33,16.133,Suns,3,73,exec,3.163,,,Sunstrip,Flash,,S4 3,4,3,
16,34,16.134,Suns,3,74,exec,3.164,,,Sunstrip,Flash,,S4 4,4,4,
16,35,16.135,Suns,3,75,exec,3.165,,,Sunstrip,Flash,,S4 5,4,5,
16,36,16.136,Suns,3,76,exec,3.166,,,Sunstrip,Flash,,S4 6,4,6,
16,37,16.137,Suns,3,77,exec,3.167,,,Sunstrip,Flash,,S4 7,4,7,
16,38,16.138,Suns,3,78,exec,3.168,,,Sunstrip,Flash,,S4 8,4,8,
16,39,16.139,Suns,3,79,exec,3.169,,,Sunstrip,Flash,,S4 9,4,9,
16,40,16.140,Suns,3,80,exec,3.170,,,Sunstrip,Flash,,S4 10,4,10,
16,60,,Suns,3,81,exec,3.171,,,Sunstrip,Fadeout-Seg,,SS1 FdOut 1,1,1,Fade in / Fade Out getrnnt setzen via setting mit velocity?
16,61,,Suns,3,82,exec,3.172,,,Sunstrip,Fadeout-Seg,,SS1 FdOut 2,1,2,
16,62,,Suns,3,83,exec,3.173,,,Sunstrip,Fadeout-Seg,,SS1 FdOut 3,1,3,
16,63,,Suns,3,84,exec,3.174,,,Sunstrip,Fadeout-Seg,,SS2 FdOut 1,2,1,
16,64,,Suns,3,85,exec,3.175,,,Sunstrip,Fadeout-Seg,,SS2 FdOut 2,2,2,
16,65,,Suns,3,86,exec,3.176,,,Sunstrip,Fadeout-Seg,,SS2 FdOut 3,2,3,
16,66,,Suns,3,87,exec,3.177,,,Sunstrip,Fadeout-Seg,,SS3 FdOut 1,3,1,
16,67,,Suns,3,88,exec,3.178,,,Sunstrip,Fadeout-Seg,,SS3 FdOut 2,3,2,
16,68,,Suns,3,89,exec,3.179,,,Sunstrip,Fadeout-Seg,,SS3 FdOut 3,3,3,
16,69,,Suns,3,90,exec,3.180,,,Sunstrip,Fadeout-Seg,,SS4 FdOut 1,4,1,
16,70,,Suns,3,91,exec,3.181,,,Sunstrip,Fadeout-Seg,,SS4 FdOut 2,4,2,
16,71,,Suns,3,92,exec,3.182,,,Sunstrip,Fadeout-Seg,,SS4 FdOut 3,4,3,
,,,Suns,3,93,exec,3.183,,,,,,FX / empty,,,
,,,Suns,3,94,exec,3.184,,,,,,SS RNDM,,,
,,,Suns,3,95,exec,3.185,,,,,,FX / empty,,,
,,,Suns,3,96,exec,3.186,,,,,,FX / empty,,,
,,,Suns,3,97,exec,3.187,,,,,,FX / empty,,,
,,,Suns,3,98,exec,3.188,,,,,,FX / empty,,,
,,,Suns,3,99,exec,3.189,,,,,,FX / empty,,,
,,,Suns,3,100,exec,3.190,,,,,,FX / empty,,,
,,,JBMH,4,,osc,-,,,JBMH,,,Fadein Speed,,,
,,,JBMH,4,,osc,-,,,JBMH,,,Fadeout Speed,,,
8,45,-,JBMH,4,1,OSC,-,,,JBMH,Brightness,,JBMH 100% brightness,,,
8,46,-,JBMH,4,1,OSC,-,,,JBMH,Brightness,,JBMH 50% brightness,,,
8,47,-,JBMH,4,1,OSC,-,,,JBMH,Brightness,,JBMH 25% brightness,,,
8,48,-,JBMH,4,1,OSC,-,,,JBMH,Brightness,,JBMH 10% brightness,,,
8,1,-,JBMH,4,2,OSC,-,,,JBMH,PT Speed Master,,JBMH Speed 100,,,
8,2,-,JBMH,4,2,OSC,-,,,JBMH,PT Speed Master,,JBMH Speed 80,,,
8,3,-,JBMH,4,2,OSC,-,,,JBMH,PT Speed Master,,JBMH Speed 60,,,
8,4,-,JBMH,4,2,OSC,-,,,JBMH,PT Speed Master,,JBMH Speed 40,,,
8,5,-,JBMH,4,2,OSC,-,,,JBMH,PT Speed Master,,JBMH Speed 30,,,
8,6,-,JBMH,4,2,OSC,-,,,JBMH,PT Speed Master,,JBMH Speed 20,,,
8,7,-,JBMH,4,2,OSC,-,,,JBMH,PT Speed Master,,JBMH Speed 10,,,
8,8,-,JBMH,4,2,OSC,-,,,JBMH,PT Speed Master,,JBMH Speed 5,,,
8,9,-,JBMH,4,2,OSC,-,,,JBMH,PT Speed Master,,JBMH Speed 0,,,
13,10,,JBMH,4,11,exec,4.101,,,,,,Blackout soft,,,
,,,JBMH,4,12,exec,4.102,,,,,,Blackout hard,,,
,,,JBMH,4,13,exec,4.103,,,,,,White Flashes,,,
,,,JBMH,4,14,exec,4.104,,,,,,Strobe Dim,,,
,,,JBMH,4,15,exec,4.105,,,,,,Strobe White,,,
15,20,15.121,JBMH,4,16,exec,4.106,,,JBMH,FadeIn,,FadeIn JBMH1,1,1,
15,25,15.126,JBMH,4,16,exec,-,,,JBMH,FadeIn-white,,FadeIn White JBMH1,1,1,
15,21,15.122,JBMH,4,17,exec,4.107,,,JBMH,FadeIn,,FadeIn JBMH2,2,1,
15,26,15.127,JBMH,4,17,exec,-,,,JBMH,FadeIn-white,,FadeIn White JBMH2,2,1,
15,22,15.123,JBMH,4,18,exec,4.108,,,JBMH,FadeIn,,FadeIn JBMH3,3,1,
15,27,15.128,JBMH,4,18,exec,-,,,JBMH,FadeIn-white,,FadeIn White JBMH3,3,1,
15,23,15.124,JBMH,4,19,exec,4.109,,,JBMH,FadeIn,,FadeIn JBMH4,4,1,
15,28,15.129,JBMH,4,19,exec,-,,,JBMH,FadeIn-white,,FadeIn White JBMH4,4,1,
15,80,15.181,JBMH,4,20,exec,4.110,,,JBMH,Flash,,Flash JBMH1,1,1,
15,85,15.186,JBMH,4,20,exec,-,,,JBMH,Flash-White,,Flash White JBMH1,1,1,
15,81,15.182,JBMH,4,21,exec,4.111,,,JBMH,Flash,,Flash JBMH2,2,1,
15,86,15.187,JBMH,4,21,exec,-,,,JBMH,Flash-White,,Flash White JBMH2,2,1,
15,82,15.183,JBMH,4,22,exec,4.112,,,JBMH,Flash,,Flash JBMH3,3,1,
15,87,15.188,JBMH,4,22,exec,-,,,JBMH,Flash-White,,Flash White JBMH3,3,1,
15,83,15.184,JBMH,4,23,exec,4.113,,,JBMH,Flash,,Flash JBMH4,4,1,
15,88,15.189,JBMH,4,23,exec,-,,,JBMH,Flash-White,,Flash White JBMH4,4,1,
15,5,15.106,JBMH,4,24,exec,4.114,,,JBMH,FadeOut,,FadeOut JBMH1,1,1,
